seconds,situations,mirrored,probing
56.32,8510000,119,149974008
56.41,8520000,119,150298641
56.50,8530000,119,150728680
56.61,8540000,119,151188232
56.70,8550000,119,151540061
56.79,8560000,119,151921628
56.88,8570000,119,152255061
56.97,8580000,119,152653956
57.08,8590000,119,153129408
57.17,8600000,119,153551337
57.27,8610000,119,153967586
57.36,8620000,119,154350275
57.46,8630000,119,154792107
57.55,8640000,119,155168096
57.66,8650000,119,155675423
57.75,8660000,121,156043606
57.86,8670000,121,156531052
57.97,8680000,121,157009073
58.06,8690000,121,157410708
58.14,8700000,121,157658414
58.22,8710000,121,157943643
58.30,8720000,121,158296123
58.38,8730000,121,158581955
58.47,8740000,121,158921628
58.56,8750000,121,159257166
58.66,8760000,121,159713495
58.76,8770000,121,160145857
58.85,8780000,121,160558383
58.94,8790000,121,160887260
59.02,8800000,121,161226294
59.12,8810000,121,161588182
59.22,8820000,121,162008324
59.29,8830000,121,162269763
59.38,8840000,121,162637213
59.47,8850000,121,162981595
59.56,8860000,121,163380489
59.65,8870000,121,163687543
59.74,8880000,121,164064525
59.84,8890000,121,164510953
59.94,8900000,121,164926544
60.03,8910000,121,165324141
60.13,8920000,121,165756393
60.22,8930000,121,166144960
60.34,8940000,121,166685074
60.45,8950000,121,167251996
60.55,8960000,121,167682999
60.65,8970000,121,168141983
60.76,8980000,121,168627018
60.87,8990000,121,169126060
60.98,9000000,121,169650938
61.09,9010000,121,170170947
61.20,9020000,121,170659463
61.29,9030000,121,171078301
61.39,9040000,121,171488188
61.50,9050000,121,172033489
61.61,9060000,121,172513040
61.73,9070000,121,173117079
61.83,9080000,121,173566185
61.94,9090000,121,174111966
62.06,9100000,121,174651543
62.16,9110000,121,175140584
62.28,9120000,121,175657995
62.38,9130000,121,176133955
62.50,9140000,121,176665791
62.62,9150000,121,177228398
62.73,9160000,121,177767092
62.84,9170000,121,178344789
62.94,9180000,121,178820040
63.06,9190000,121,179377151
63.18,9200000,122,180007412
63.32,9210000,122,180677701
63.41,9220000,122,181108554
63.51,9230000,122,181510551
63.60,9240000,122,181919007
63.73,9250000,122,182542507
63.83,9260000,122,182966293
63.94,9270000,122,183514462
64.05,9280000,122,183953640
64.17,9290000,122,184533266
64.28,9300000,122,185059461
64.41,9310000,122,185634566
64.52,9320000,122,186144746
64.63,9330000,122,186607687
64.74,9340000,122,187117109
64.88,9350000,122,187840204
65.00,9360000,122,188432269
65.14,9370000,122,189162221
65.26,9380000,122,189724973
65.37,9390000,122,190209603
65.47,9400000,122,190688868
65.59,9410000,122,191219965
65.72,9420000,122,191870162
65.83,9430000,122,192364115
65.94,9440000,122,192886166
66.08,9450000,122,193557040
66.20,9460000,122,194076143
66.33,9470000,122,194715839
66.44,9480000,122,195200593
66.55,9490000,122,195758757
66.70,9500000,122,196518415
66.86,9510000,122,197360844
66.98,9520000,122,197987414
67.11,9530000,122,198640560
67.22,9540000,122,199167337
67.36,9550000,122,199849027
67.47,9560000,122,200352149
67.61,9570000,122,201041672
67.72,9580000,122,201540013
67.83,9590000,122,202051798
67.96,9600000,122,202713646
68.10,9610000,122,203443854
68.27,9620000,122,204324466
68.43,9630000,122,205178050
68.56,9640000,122,205845048
